,title,date,abstract,word_count,abstract_clean
10,"Creating Resilient Cities Through Empowered, Deliberative Participation",2011-01-01,"Social and physical climate change scientists agree that to effectively address climate change, we will need new 'technologies' of cooperation. Placing collaborative governance at centre stage, this paper explores how best to develop resilient cities based on best practice and innovative design. After researching best practice stakeholder collaboration, this paper analyses the common themes that characterize climate adaptation strategies, and documents the success factors typifying best practice. Based on this research and experience, it outlines the IFOK model for new governance and supporting institutional strategies. In addition, the paper argues that a more radical redesign of engagement and governance will be critical in order to achieve community resilience and joint action. It outlines how this can be achieved through collaborative governance, involving the deliberated wisdom of ordinary citizens, i.e. by instituting deliberative democracy. Examples of deliberative democratic practice across the globe are highlighted, including an innovative initiative to develop a deliberative community and collaborative governance in regional Western Australia.",159,social physical scientist agree effectively address need technology cooperation placing collaborative governance centre stage explores best develop resilient city based best practice innovative design researching best practice stakeholder collaboration analysis common theme characterize strategy document success factor typifying best practice based research experience outline ifok model governance supporting institutional strategy addition argues radical redesign governance critical order achieve community resilience joint action outline achieved collaborative governance involving deliberated wisdom ordinary citizen e instituting deliberative democracy example deliberative democratic practice across globe highlighted including innovative initiative develop deliberative community collaborative governance regional western australia
11,Talk of the city: engaging urbanites on climate change,2006-01-01,"Climate change requires societal engagement on both mitigation and adaptation. With a growing majority of people living in cities, urban dwellers and municipal decision-makers will need to reduce their emissions and other impacts on the regional and global climate while dealing with the unavoidable near-term and potential longer-term impacts of climate change. To facilitate effective societal response to climate change, a busy, distracted, and so far only marginally interested public needs to be engaged on the topic. This poses significant challenges to communication and sustained outreach efforts. This letter draws on critical insights from a three-year multi-disciplinary project that involved academics and practitioners from various disciplines and sectors of (mostly US) society and explored how to communicate climate change in ways that facilitate societal response. The letter raises questions about key audiences, appropriate messengers, framings and messages, reception of climate change information, and the choice of communication mediums and formats to achieve different communication and engagement goals.",157,requires societal mitigation growing majority people living city urban dweller municipal decision maker need reduce emission impact regional global dealing unavoidable near term potential longer term impact facilitate effective societal response busy distracted far marginally interested need engaged topic pose significant challenge communication sustained outreach effort letter draw critical insight three year multi disciplinary project involved academic practitioner various discipline sector mostly u society explored communicate way facilitate societal response letter raise question key audience appropriate messenger framing message reception information choice communication medium format achieve different communication goal
12,Archival explorations of climate variability and social vulnerability in colonial Mexico,2007-01-01,"In this paper, unpublished archival documentary sources are used to explore the vulnerability to-and implications of-climatic variability and extreme weather events in colonial Mexico. Attention focuses on three regions covering a variety of environmental, social, economic, and political contexts and histories and located at key points along a north-south rainfall gradient: Chihuahua in the arid north, Oaxaca in the wetter south and Guanajuato located in the central Mexican highlands. A number of themes are considered. First, the significance of successive, prolonged, or combined climate events as triggers of agrarian crisis. Second, a case study demonstrating the national and regional impacts of a particularly devastating climate induced famine, culminating with the so-called 'Year of Hunger' between 1785 and 1786, is presented. The way in which social networks and community engagement were rallied as a means of fortifying social resilience to this and other crises will be highlighted. Third, the impacts of selected historical flood events are explored in order to highlight how the degree of impact of a flood was a function of public expectation, preparedness and also the particular socio-economic and environmental context in which the event took place. An overview of the spatial and temporal variations in vulnerability and resilience to climatic variability and extreme weather events in colonial Mexico is then provided, considering those recorded events that could potentially relate to broader scale, possibly global, climate changes.",229,unpublished archival documentary source used explore vulnerability implication climatic variability extreme weather event colonial mexico attention focus three region covering variety environmental social economic political context history located key point along north south rainfall gradient chihuahua arid north oaxaca wetter south guanajuato located central mexican highland number theme considered first significance successive prolonged combined event trigger agrarian crisis second demonstrating national regional impact particularly devastating induced famine culminating called year hunger presented way social network community rallied mean fortifying social resilience crisis highlighted third impact selected historical flood event explored order highlight degree impact flood function expectation preparedness particular socio economic environmental context event took place overview spatial temporal variation vulnerability resilience climatic variability extreme weather event colonial mexico provided considering recorded event could potentially relate broader scale possibly global change
13,Community level adaptation to climate change: The potential role of participatory community risk assessment,2008-01-01,"This paper explores the value of using community risk assessments (CRAs) for climate change adaptation. CRA refers to participatory methods to assess hazards, vulnerabilities and capacities in support of community-based disaster risk reduction, used by many NGOs, community-based organizations, and the Red Cross/Red Crescent. We review the evolution of climate change adaptation and community-based disaster risk reduction, and highlight the challenges of integrating global climate change into a bottom-up and place-based approach. Our analysis of CRAs carried out by various national Red Cross societies shows that CRAs can help address those challenges by fostering community engagement in climate risk reduction, particularly given that many strategies to deal with current climate risks also help to reduce vulnerability to climate change. Climate change can also be explicitly incorporated in CRAs by making better use of CRA tools to assess trends, and by addressing the notion of changing risks. However, a key challenge is to keep CRAs simple enough for wide application. This demands special attention in the modification of CRA tools; in the background materials and trainings for CRA facilitators; and in the guidance for interpretation of CRA outcomes. A second challenge is the application of a limited set of CRA results to guide risk reduction in other communities and to inform national and international adaptation policy. This requires specific attention for sampling and care in scaling up qualitative findings. Finally, stronger linkages are needed between organizations facilitating CRAs and suppliers of climate information, particularly addressing the translation of climate information to the community level. (C) 2007 Elsevier Ltd. All rights reserved.",260,explores value community risk assessment cras cra refers participatory method ass hazard vulnerability capacity support community based disaster risk reduction used many ngo community based organization red cross red crescent review evolution community based disaster risk reduction highlight challenge integrating global bottom place based approach analysis cras carried various national red cross society show cras help address challenge fostering community risk reduction particularly given many strategy deal current risk help reduce vulnerability explicitly incorporated cras making better use cra tool ass trend addressing notion changing risk however key challenge keep cras simple enough wide application demand special attention modification cra tool background material training cra facilitator guidance interpretation cra outcome second challenge application set cra result guide risk reduction community inform national international policy requires specific attention sampling care scaling qualitative finding finally stronger linkage needed organization facilitating cras supplier information particularly addressing translation information community level c right
14,"Public engagement in climate change - Disjunctions, tensions and blind spots in the UK",2009-01-01,"There is much talk about engaging the public in climate change mitigation and adaptation in the United Kingdom and elsewhere. Governments rush to demand greater engagement of the public in tackling climate change and delivering sustainable futures. The importance that public engagement has gained as part of the UK climate agenda begs the questions of what is actually behind this call and what are the implications. This paper analyses the rationale for public engagement as enshrined in major policy documents. This rationale is clearly instrumental in that citizens are expected to engage by adopting the 'right attitude', by performing prescribed behaviours, and by consenting to proposed measures. Using recent cases of climate change mitigation and adaptation practice the paper discusses the implications of such an approach to public engagement. The paper concludes that until the manifold disjunctions between climate related policy agendas and their rationales for engagement are explicitly addressed citizen engagement will be serving incumbent interests rather than contributing to socially sustainable and democratic decision-making",166,much talk engaging mitigation united kingdom elsewhere government rush demand greater tackling delivering sustainable future importance gained part uk agenda begs question actually behind call implication analysis rationale enshrined major policy document rationale clearly instrumental citizen expected engage adopting attitude performing prescribed behaviour consenting proposed measure recent case mitigation practice discus implication approach concludes manifold disjunction related policy agenda rationale explicitly addressed serving incumbent interest rather contributing socially sustainable democratic decision making
15,Igniting change in local government: lessons learned from a bushfire vulnerability assessment,2009-01-01,"Local governments and communities have a critical role to play in adapting to climate variability and change. Spatial vulnerability assessment is one tool that can facilitate engagement between researchers and local stakeholders through the visualisation of climate vulnerability and the integration of its biophysical and socio-economic determinants. This has been demonstrated through a case study from Sydney, Australia where a bushfire vulnerability assessment was undertaken as the first-step in a project to investigate local government perceptions of climate vulnerability and adaptive capacity. A series of relevant biophysical and socio-economic indicators was identified that represented the region's exposure, sensitivity and adaptive capacity with respect to bushfires. These indicators were then combined to develop maps of net landscape vulnerability to bushfire. When presented in a workshop setting, vulnerability maps were successful in capturing the attention of stakeholders while simultaneously conveying information regarding the diversity of drivers that can contribute to current and future vulnerability. However, stakeholders were reluctant to embrace representations of vulnerability that differed from their own understanding of hazard, necessitating the demonstration of agreement between the vulnerability assessment and more conventional hazard assessment tools. This validation opened the door for public dissemination of vulnerability maps, the uptake and use of the assessment in local government risk assessment and adaptation planning, and more focused case-studies on barriers to adaptation.",218,local government community critical role play adapting variability spatial vulnerability assessment tool facilitate researcher local stakeholder visualisation vulnerability integration biophysical socio economic determinant demonstrated sydney australia bushfire vulnerability assessment undertaken first step project investigate local government perception vulnerability adaptive capacity series relevant biophysical socio economic indicator identified represented region exposure sensitivity adaptive capacity respect bushfires indicator combined develop map net landscape vulnerability bushfire presented workshop setting vulnerability map successful capturing attention stakeholder simultaneously conveying information regarding diversity driver contribute current future vulnerability however stakeholder reluctant embrace representation vulnerability differed understanding hazard necessitating demonstration agreement vulnerability assessment conventional hazard assessment tool validation opened door dissemination vulnerability map uptake use assessment local government risk assessment planning focused study barrier
16,"Communities, Mitigation and Adaptation",2010-01-01,"With scientific evidence showing an unprecedented rate of climate change a rate much faster than anticipated a few years ago more active climate protection engagement is needed around the globe. In this context individuals and the community level play a vital role, and there are also considerable expectations by citizens that national governments will take the lead. Yet engagement is slow, and this raises questions regarding the motivation for action and how to get widespread engagement, particularly at the local level. Some issues that have motivated action include experiencing the local impact of climate change and a realisation that it has a security impact (from many different perspectives from climate migration to socio-economic impacts). Studies that address the cost of action and inaction have placed climate change on the political map, and community leaders that have engaged from various angles such as improving air quality have gained multiple benefits for the community and the environment, as an indirect approach to local climate action. This chapter explores why the local level urgently needs to engage, and what its representatives - political leaders, staff and citizens - need to know about what they are dealing with, and why they should deal with it.",201,scientific evidence showing unprecedented rate rate much faster anticipated year ago active protection needed around globe context individual community level play vital role considerable expectation citizen national government take lead yet slow raise question regarding motivation action get widespread particularly local level issue motivated action include experiencing local impact realisation security impact many different perspective migration socio economic impact study address cost action inaction placed political map community leader engaged various angle improving air quality gained multiple benefit community environment indirect approach local action chapter explores local level urgently need engage representative political leader staff citizen need know dealing deal
17,Preparing for a changing climate: The Chicago climate action plan's adaptation strategy,2010-01-01,"The Chicago Climate Action Plan (CCAP), Chicago's roadrnap for reducing climate change impacts and adapting to the changes already occurring, relied on rigorous analysis to formulate policy decisions through stakeholder coordination and public engagement. Three key pieces of analysis contributed to Chicago's adaptation strategy: an evaluation of Chicago's higher and lower greenhouse gas emissions scenarios; an assessment of Chicago's economic risk under both emissions scenarios; and a prioritization of potential impacts using a scoring system that included likelihood of occurrence and local consequences of occurrence. Potential adaptation tactics were categorized according to their expected benefits and costs and led to the creation of working groups to develop action plans that will include primary actors, timelines, budgets, and performance measures that the City will monitor. While not essential for all cities, the impacts analysis was of high value to the adaptation strategy. However, a strategy for stakeholder engagement is crucial in ensuring that the implications of climate impacts are properly understood. (c) 2009 Elsevier B.V. All rights reserved.",167,chicago action plan ccap chicago roadrnap reducing impact adapting change already occurring relied rigorous analysis formulate policy decision stakeholder coordination three key piece analysis contributed chicago strategy evaluation chicago higher lower greenhouse gas emission scenario assessment chicago economic risk emission scenario prioritization potential impact scoring system included likelihood occurrence local consequence occurrence potential tactic categorized according expected benefit cost led creation working group develop action plan include primary actor timeline budget performance measure city monitor essential city impact analysis high value strategy however strategy stakeholder crucial ensuring implication impact properly understood c b v right
18,Public perception of drought and climate change in southeast England,2010-01-01,"Droughts occur as a natural feature of many climates. Several southern areas of the UK experienced water stress during 20042006 because of low water availability and high water demand. Climate change scenarios suggest that drought frequency could increase here in the future. This will increase the competition for water across all sectors. Understanding people's perceptions of drought and climate change is likely to be an important factor for sustainable water management by pointing to barriers to behavioural change. A mixed methodology study using questionnaires and focus groups was conducted in the Anglian and southern regions of the UK to explore public perceptions of drought and climate change. Respondents attributed the 2004-2006 regional drought to lower than average rainfall. Water-intensive lifestyles, a growth in population, increasing housing developments, leaking pipes and the privatization of water companies were also implicated. The majority of respondents claimed to change their behaviour to conserve water during 2006. Regarding the future, and under a number of different scenarios, people were more inclined to accept restrictions than agree to pay more to ensure the supply of water. They were concerned about climate change and recognized that more frequent water shortages may be one of the impacts, but this concern did not necessarily translate into action. Barriers to engagement with climate change and water-efficient behaviour included a lack of accessible information, a lack of knowledge regarding the integration of environmental spheres, a lack of resources, and a perceived lack of institutional engagement. The barriers identified appear to pose a major challenge to successful adaptation to climate change.",259,drought occur natural feature many climate several southern area uk experienced water stress low water availability high water demand scenario suggest drought frequency could increase future increase competition water across sector understanding people perception drought likely important factor sustainable water management pointing barrier behavioural mixed methodology questionnaire focus group conducted anglian southern region uk explore perception drought respondent attributed regional drought lower average rainfall water intensive lifestyle growth population increasing housing development leaking pipe privatization water company implicated majority respondent claimed behaviour conserve water regarding future number different scenario people inclined accept restriction agree pay ensure supply water concerned recognized frequent water shortage may impact concern necessarily translate action barrier water efficient behaviour included lack accessible information lack knowledge regarding integration environmental sphere lack resource perceived lack institutional barrier identified appear pose major challenge successful
19,Framing adaptation to climate-related extreme events,2010-01-01,"Whilst mitigation has dominated policy and research agendas in recent years there is an increasing recognition that communities also need to be preparing for change that is unavoidable, partially a consequence of anthropogenic greenhouse gases already emitted to the atmosphere. The perceived need for adaptation has also received additional impetus through the high public profile now given to the impacts of current day weather variability, particularly the significant economic and social costs associated with recent extreme events. However, being a relatively new focus for both research and policy communities; practical evidence of the extent, feasibility, efficiency, and cost effectiveness of potential adaptation options remains largely lacking. In response, this paper seeks to make a contribution to this embryonic but evolving knowledge base by considering the theoretical underpinnings of adaptation and ultimately how this translates into practice 'in the real world'. The analytical commentary, based on a bottom-up approach involving iterative engagement with key stakeholders and experts, reflects on the identification of measures that are either innovative or examples of good practice in reducing or transferring climate risks, as well as considering those 'enabling' institutional structures and processes that act to support implementation on the ground. The paper concludes by synthesising the key findings to date in order to highlight some of the opportunities for, and barriers to, adaptation activity.",219,whilst mitigation dominated policy research agenda recent year increasing recognition community need preparing unavoidable partially consequence anthropogenic greenhouse gas already emitted atmosphere perceived need received additional impetus high profile given impact current day weather variability particularly significant economic social cost associated recent extreme event however relatively focus research policy community practical evidence extent feasibility efficiency cost effectiveness potential option remains largely lacking response seek make contribution embryonic evolving knowledge base considering theoretical underpinnings ultimately translates practice real world analytical commentary based bottom approach involving iterative key stakeholder expert reflects identification measure either innovative example good practice reducing transferring risk well considering enabling institutional structure process act support implementation ground concludes synthesising key finding date order highlight opportunity barrier activity
