,title,creator,date,abstract,doi,publication,date_added,word_count
10,Developing an approach for tourism climate change assessment: evidence from four contrasting Australian case studies,Turton et al.,2010-01-01,"The Intergovernmental Panel on Climate Change has identified Australia as among the developed nations most at risk from climate change effects. Key tourism icon destinations and the tourism sector generally have been identified as being particularly at risk. This paper reports on an interdisciplinary, multi-case study approach to assess tourism stakeholders' knowledge of, and approaches to, climate change adaptation and to explore the potential for building a self-assessment toolkit that can be exported to other tourism destinations. This study examined existing knowledge on anticipated biophysical changes and, through primary research (stakeholder interviews and social learning workshops), gauged the expected adaptive approaches of destination communities and the tourism sector to these changes for 2020, 2050 and 2070. The facilitated workshops generated a common set of adaptation strategies across a diverse set of tourist destinations. A key finding from the workshops is that the tourism sector is not yet ready to invest in climate change adaptation because of the perceived uncertainties. Ongoing leadership for such measures were seen to rest with the public sector, especially local authorities. Whether such assessments can be self-generated or require specialist facilitation remains open to debate.",10.1080/09669581003639814,Journal of Sustainable Tourism,2019-06-05 12:17:51+00:00,
11,"Climate change, carbon prices and insurance systems",Phelan et al.,2010-01-01,"Market approaches to limit CO2e emissions such as carbon taxes and emissions trading schemes (ETSs) aim to avoid dangerous anthropogenic climate change by ascribing a financial cost to emissions. Yet such approaches have failed to establish either emissions limits or carbon prices equal to the task. We propose an approach to carbon pricing that better reflects the biogeophysical limits of the Earth system by drawing on aspects of insurance systems including forms of social insurance and the insurance industry. Our proposal achieves this by: (i) creating a financial liability link between current emissions and attributable near future losses; and (ii) applying Fraction Attributable Risk (FAR) analysis to determine the contribution of anthropogenic climate change to increased probability of experienced damaging weather events. Our proposal, a departure from current approaches to pricing CO2e emissions, has aspects that are consistent with existing forms of insurance. It requires participation by states and a small number of larger and established reinsurers. Our proposal provides both the scientific-technical capacity and the political-economic incentive to shift the anchor point for carbon prices away from pressing short-term political and economic considerations and closer to strategic ecological requirements for Earth system stability: the balance is shifted to favour changes in the global economy necessary to avoid dangerous anthropogenic climate change over current estimations of what is politically and economically feasible or desirable. Our proposal is an example of reflexive mitigation, grounded in complex adaptive systems theory, and centres on relationships between the Earth system, the global economy and insurance systems.",10.1080/13504500903541806,International Journal of Sustainable Development and World Ecology,2019-06-05 12:17:51+00:00,
12,Local institutions for floodplain management in Bangladesh and the influence of the Flood Action Plan,Sultana and Thompson,2010-01-01,"Institutional arrangements are a key issue for sustainable natural resource management. Recent water and fisheries management projects in Bangladesh have established new local institutions for floodplain management based on community organizations. Although the Flood Action Plan (FAP) was the culmination of an earlier emphasis on technical and structural 'solutions' to managing floods and water in Bangladesh, the expected large engineering works were never built. One legacy of FAP lies in a contested process that accelerated emphasis on public participation, smaller scale hazard adjustments and maintaining a wider range of floodplain resource values including conserving and restoring fisheries. This paper compares institutional arrangements and outcomes in two fisheries and two water management projects taken up after FAR Local organizations appeared generally successful in sustaining themselves and continuing floodplain resource management. Facilitation, the extent of consensus among different stakeholders, and fit between institutional arrangements and scale of resource were all important influences on effectiveness. Local organizations have sustained in smaller floodplains, but in larger areas co-management bodies were a key to effective coordination and troubleshooting among a series of linked community organizations. Local leaders tend to dominate after projects end, especially where planning was less participatory and organizational structures were determined from above. Participants stressed that for continued success formally recognized well-run organizations are needed with accountable and adaptable decision-making processes and good leaders. This process built on participatory guidelines from FAP but the local institutions have not addressed hazard risks. Community resource management institutions could develop a more integrated approach that internalizes the interactions between water, land and fishery management. So far, local planning for floods has been a notable gap in the activities of community institutions, but the enhanced social capital could be a basis for adaptation to climate change. For this, an enabling policy environment is needed, which could be facilitated by the open high-profile debate on floodplain issues that characterized FAP.",10.3763/ehaz.2010.SI05,Environmental Hazards-Human and Policy Dimensions,2019-06-05 12:17:51+00:00,
13,A Europe-South America network for climate change assessment and impact studies,Boulanger et al.,2010-01-01,"The goal of the CLARIS project was to build an integrated European-South American network dedicated to promote common research strategies to observe and predict climate changes and their consequent socio-economic impacts taking into account the climate and societal peculiarities of South America. Reaching that goal placed the present network as a privileged advisor to contribute to the design of adaptation strategies in a region strongly affected by and dependent on climate variability (e. g. agriculture, health, hydro-electricity). Building the CLARIS network required fulfilling the following three objectives: (1) The first objective of CLARIS was to set up and favour the technical transfer and expertise in earth system and regional climate modelling between Europe and South America together with the providing of a list of climate data (observed and simulated) required for model validations; (2) The second objective of CLARIS was to facilitate the exchange of observed and simulated climate data between the climate research groups and to create a South American high-quality climate database for studies in extreme events and long-term climate trends; (3) Finally, the third objective of CLARIS was to strengthen the communication between climate researchers and stakeholders, and to demonstrate the feasibility of using climate information in the decision-making process.",10.1007/s10584-009-9734-8,Climatic Change,2019-06-05 12:17:51+00:00,
14,Public-private partnerships in global climate governance,Pattberg,2010-01-01,"This article assesses the contributions of public-private partnerships, understood as a specific type of networked climate governance, to effective and legitimate climate governance. The appraisal of networked governance in the climate change arena is based on three sets of criteria. First, their potential contribution to effective climate change mitigation and adaptation; second, their contribution to broader political goals such as increased participation and inclusiveness in global environmental governance; and third, their linkages and fit with the existing institutional architecture of international climate change governance. I conclude with a set of questions for future research. (C) 2010 John Wiley & Sons, Ltd. WIREs Clim Change 2010 1 279-287",10.1002/wcc.38,Wiley Interdisciplinary Reviews-Climate Change,2019-06-05 12:17:51+00:00,
15,"Energy, Forest, and Indoor Air Pollution Models for Sagarmatha National Park and Buffer Zone, Nepal Implementation of a Participatory Modeling Framework",Salerno et al.,2010-01-01,"This paper presents the results of management-oriented research on energy, forest, and human health issues in a remote mountain area, the Sagarmatha National Park and Buffer Zone (SNPBZ), Nepal. The research was based on a broader, integrated participatory framework ultimately intended for use in adaptive management. The present study focused on the application of a participatory modeling framework to address problems related to energy demand and consumption, forest condition, and indoor air pollution, which were defined by the stakeholders as important issues to be addressed. The models were developed using a generalizing design that allows for user-friendly adaptation to other contexts (free download at http://hkkhpartnership.org). Moreover, we simulated management scenarios in collaboration with all modeling actors with the aim of building consensus on the understanding of the system as well as supporting decision-makers' capacity not only to respond to changes, but also to anticipate them. Importantly, the system dynamics assessment found that the SNPBZ forests are affected by an increasing demand for fuelwood (occurring due to tourism growth), as one of the main sources of energy. Selected forests show an average reduction of 38% in forest biomass from 1992 to 2008. This shows that the business-as-usual scenario is unlikely to result in the preservation of the current forest status; in fact, such preservation would require 75% of fuelwood to be replaced with alternative energy sources. At the same time, a 75% reduction of fuelwood use (and an 80% reduction of dung use) would reduce indoor carbon monoxide (CO) concentrations to the standard limits for CO exposure set by the World Health Organization.",10.1659/MRD-JOURNAL-D-10-00027.1,Mountain Research and Development,2019-06-05 12:17:51+00:00,
16,Does public policy support or undermine climate change adaptation? Exploring policy interplay across different scales of governance,Urwin and Jordan,2008-01-01,"Policy makers have now recognised the need to integrate thinking about climate change into all areas of public policy making. However, the discussion of 'climate policy integration' has tended to focus on mitigation decisions mostly taken at international and national levels. Clearly, there is also a more locally focused adaptation dimension to climate policy integration, which has not been adequately explored by academics or policy makers. Drawing on a case study of the UK, this paper adopts both a top-down and a bottom-up perspective to explore how far different sub-elements of policies within the agriculture, nature conservation and water sectors support or undermine potential adaptive responses. The top-down approach, which assumes that policies set explicit aims and objectives that are directly translated into action on the ground, combines a content analysis of policy documents with interviews with policy makers. The bottom-up approach recognises the importance of other actors in shaping policy implementation and involves interviews with actors in organisations within the three sectors. This paper reveals that neither approach offers a complete picture of the potentially enabling or constraining effects of different policies on future adaptive planning, but together they offer new perspectives on climate policy integration. These findings inform a discussion on how to implement climate policy integration, including auditing existing policies and 'climate proofing' new ones so they support rather than hinder adaptive planning. (C) 2007 Elsevier Ltd. All rights reserved.",10.1016/j.gloenvcha.2007.08.002,Global Environmental Change-Human and Policy Dimensions,2019-06-05 12:17:51+00:00,
17,Potential synergy between adaptation and mitigation strategies: production of vegetable oils and biodiesel in northeastern Brazil,La Rovere et al.,2009-01-01,"In this study we discuss the potential of integrated adaptation and mitigation strategies to addess problems arising from climate change. This 'Ad-Mit' or 'Mit-Ad' approach is illustrated through the case of crop diversification by family farmers to crops used for vegetable oil and biodiesel production in the northeastern semi-arid region of Brazil. Impact assessments of some climate change scenarios indicate this region to be one of the most vulnerable in the country. Small farmers from the northeastern semi-arid region are among the low-income social groups most vulnerable to climate change. Improvement of the social and economic conditions in these rural communities through the growth of vegetable oil crops is an important adaptation strategy vis-a-vis future climate change, constituting an income-generation activity in the biodiesel production chain. The use of vegetable oils as a feedstock for biodiesel production and fuel reduces CO2 emissions due to the displacement of diesel oil, thus it also contributes to a mitigation strategy. Potential barriers to an increase in vegetable oil production by small farmers in the region are identified, including capacity building and logistics requirements. We discuss public policies and measures that could help overcome these barriers in the northeastern semi-arid region, and suggest the following: the use of selected seeds of several vegetable oil crops alongside subsistence crops, capacity building and technological and financial support to small farmers, and the building of logistics infrastructure and the appropriate institutional setting.",10.3354/cr00815,Climate Research,2019-06-05 12:17:51+00:00,
18,Climate change and Ontario forests: Prospects for building institutional adaptive capacity,Brown,2009-01-01,"Institutions play an important role in the adaptive capacity of a system in responding to climate change. This review paper characterizes the status of the collective institutional response (government, industry, First Nation, community, civil society) to climate change in the forest sector of the Canadian province of Ontario, and highlights the presence and nature of inter-institutional networks as part of the response. Based on a synthesis of the commonalities in the public administration and policy literature on tackling wicked problems, and the resilience literature, inter-institutional networks, which foster exchange of different types of knowledge, are an important aspect of enhancing the adaptive capacity of social-ecological systems such as the forest sector. Based on a content analysis of publicly available documents and insights gained from representatives of government, community members and non-governmental organizations, mitigation and adaptations strategies are described. At the provincial level there have been some new innovations in inter-institutional networks, but expansion of the forest stakeholders involved in such networks would further enhance adaptive capacity. In particular, it is important to network with First Nations and other forest-dependent communities who have a heightened vulnerability to climate change. The presence of a collaborative capacity builder could foster the transfer, receipt and integration of knowledge across the networks, and ultimately build long-term collaborative problem-solving capacity in the Ontario forest sector.",10.1007/s11027-009-9183-8,Mitigation and Adaptation Strategies for Global Change,2019-06-05 12:17:51+00:00,
19,"Research, impacts and adaptation in public health for the new climate of Quebec",Gosselin and Belanger,2010-01-01,"After its modest beginnings focusing on arctic Quebec in 1999, the Quebec research programme on health and climate change became interested in the remainder of the province around 2002. The European heat wave in 2003 accelerated the pace of this programme and prompted the Quebec health sector's participation in the Ouranos Research Consortium. The research findings from the 2003-2006 period have directly fed into the health component of the Quebec government's climate change action plan (2006-2012), financed through the first carbon tax in the Americas. This component is planning for a series of adaptations to the health network and to some other public networks, which will apply to construction, the built environment and outdoor developments, clinical management methods and practices, public health surveillance as well as emergency preparedness. In this article, the authors describe how research is supporting action and implementation, while also preparing for the future, and how this interaction has progressively established itself over the last 10 years.",10.3917/spub.103.0291,Sante Publique,2019-06-05 12:17:51+00:00,
20,Planning for climate change in a flood-prone community: municipal barriers to policy action and the use of visualizations as decision-support tools,Burch et al.,2010-01-01,"Efforts are intensifying to design effective flood management strategies that account for a changing climate and that make use of the wealth of resources and latent capacities associated with action at the local level. Municipalities, however, are subject to a host of challenges and barriers to action, revealing the critical need for sophisticated participatory processes in support of municipal decision-making under conditions of considerable uncertainty. This paper examines a new process for envisioning local climate change futures, which uses an iterative, collaborative, multistakeholder approach to produce computer-generated 3-dimensional images of climate change futures in the flood-prone municipality of Delta, British Columbia, Canada. The process appeared to forge communicative partnerships, which may improve the legitimacy and effectiveness of the flood management and climate change response discourse in the municipality of Delta, and may lead to locally specific and integrated flood management and climate change response strategies. We concluded that, while an enabling context and normative pressures are clearly integral to effective action, so too is the type and mode of presentation of information about climate futures.",10.1111/j.1753-318X.2010.01062.x,Journal of Flood Risk Management,2019-06-05 12:17:51+00:00,
21,Seven tools for creating adaptive policies,Swanson et al.,2010-01-01,"Experience demonstrates that policies crafted to operate within a certain range of conditions are often faced with unexpected challenges outside of that range. The result is that many policies have unintended impacts and do not accomplish their goals. Adaptive policies are designed to function more effectively in complex, dynamic, and uncertain conditions. Based on over a dozen case studies on public policies relating to agriculture and water resources management in Canada and India, we conclude that there are seven tools policymakers should follow to create adaptive policies. Adaptive policies anticipate and plan for the array of conditions that lie ahead: (#1) using integrated and forward-looking analysis; (#2) monitoring key performance indicators to trigger built-in policy adjustments; (#3) undertaking formal policy review and continuous learning; and (#4) using multi-stakeholder deliberation. But not all situations can be anticipated. Unknown unknowns and deep uncertainty will always be part of policymaking. Adaptive policies are able to navigate toward successful outcomes in settings that cannot be anticipated in advance. This can be done by working in concert with certain characteristics of complex adaptive systems and thereby facilitating autonomous actions among stakeholders on the ground. To a degree, adaptive policy tools #3 and #4 can be used toward this purpose, but most directly, such autonomous tools include: (#5) enabling self-organization and social networking; (#6) decentralizing decisionmaking to the lowest and most effective jurisdictional level; and (#7) promoting variation in policy responses. This paper elaborates on these seven tools as a pragmatic guide for policymakers who find themselves working in highly complex, dynamic, and uncertain settings. (C) 2010 Elsevier Inc. All rights reserved.",10.1016/j.techfore.2010.04.005,Technological Forecasting and Social Change,2019-06-05 12:17:51+00:00,
22,"Taking a second look: climate change, periodic relicensing and improved management of dams",Pittock and Hartmann,2011-01-01,"Dams affect rivers and other freshwater ecosystems around the world. The structural performance and service delivery of many dams has seldom been assessed; many are unsafe and no longer deliver designed benefits. Changes in hydrology from climate change will require assessment of safety and operations of infrastructure. This creates an opportunity during relicensing for modification or removal of dams to render them safe, maximise their services and minimise social and environmental impacts. We examined case studies of reassessment of dams from Australia (New South Wales), China, France and the United States that illustrated the following: the management challenge of aging and unsafe dams; unrealised opportunities to improve environmental, social and economic benefits; and the benefits of inventory and relicensing systems. Key elements of an ideal regulatory system to optimise water infrastructure performance are identified, comprising periodic (time-limited) relicensing of all infrastructure overseen by an independent regulatory agency that would take decisions in the public interest through a transparent process, involving public participation. Each dam would have an identified owner who must apply best-available technologies to maximise safety, socioeconomic and environmental performance. Dam renovation could minimise current non-climate impacts, improve migration of aquatic wildlife and even attenuate some climate impacts on freshwater biota.",10.1071/MF09302,Marine and Freshwater Research,2019-06-05 12:17:51+00:00,
23,Adaptation through insurance: lessons from the NFIP,Thomas and Leichenko,2011-01-01,"Purpose - Insurance is widely regarded as a key adaptation option for climate change. Yet, the experience of the insurance sector in dealing with climatic hazards, particularly flooding, has been highly varied. Drawing from the experience of the US National Flood Insurance Program (NFEP), the purpose of this paper is to identify opportunities and challenges associated with using insurance as an adaptation strategy for climate change. Design/methodology/approach - This article critically reviews the history and recent performance of the NFIP and considers lessons for climate change adaptation through insurance. Findings - The US NFIP offers government-subsidized flood insurance for firms and residences. Over its 40-year history, the NFIP has struggled with financial instability and low levels of public participation in the program. The experience of the NFIP offers several lessons regarding the viability of insurance as an adaptation strategy: increasing insurance premiums to account for new climatic risks may mean that a growing segment of the population is unable or unwilling to purchase insurance, absent some other form of subsidization; educating the public on levels of risk and promoting appropriate risk mitigation are highly effective means for reducing damages from current and emerging weather-related risks; and close public-private cooperation is likely to be needed to prevent withdrawal of private insurers from high-risk areas and to ensure that insurance coverage continues to be widely available. Originality/value - Examination of past experience with insurance as a mechanism for climate adaptation offers lessons and insights that can inform development of effective strategies to address climate change.",10.1108/17568691111153401,International Journal of Climate Change Strategies and Management,2019-06-05 12:17:51+00:00,
24,Public Sector Reform and Governance for Adaptation: Implications of New Public Management for Adaptive Capacity in Mexico and Norway,Eakin et al.,2011-01-01,"Although many governments are assuming the responsibility of initiating adaptation policy in relation to climate change, the compatibility of ""governance-for-adaptation"" with the current paradigms of public administration has generally been overlooked. Over the last several decades, countries around the globe have embraced variants of the philosophy of administration broadly called ""New Public Management"" (NPM) in an effort to improve administrative efficiencies and the provision of public services. Using evidence from a case study of reforms in the building sector in Norway, and a case study of water and flood risk management in central Mexico, we analyze the implications of the adoption of the tenets of NPM for adaptive capacity. Our cases illustrate that some of the key attributes associated with governance for adaptation-namely, technical and financial capacities; institutional memory, learning and knowledge; and participation and accountability-have been eroded by NPM reforms. Despite improvements in specific operational tasks of the public sector in each case, we show that the success of NPM reforms presumes the existence of core elements of governance that have often been found lacking, including solid institutional frameworks and accountability. Our analysis illustrates the importance of considering both longer-term adaptive capacities and short-term efficiency goals in public sector administration reform.",10.1007/s00267-010-9605-0,Environmental Management,2019-06-05 12:17:51+00:00,
25,Institutional traps and vulnerability to changes in climate and flood regimes in Thailand,Lebel et al.,2011-01-01,"Vulnerabilities to floods in Thailand are changing as a result of many factors. Formal and informal institutions help shape exposure, sensitivity and capacities to respond of individuals, social groups and social-ecological systems. In this paper we draw on several case studies of flood events and flood-affected communities to first assess how current practices reflect various laws, procedures, programs and policies for managing floods and disasters and then explore the implications for dealing with additional challenges posed by climate change. Our analysis identifies several institutional traps which need to be overcome if vulnerability is to be reduced, namely capture of agendas by technical elites, single-level or centralized concentration of capacities, organizational fragmentation and overemphasis on reactive crisis management. Possible responses are to expand public participation in managing risks, build adaptive capacities at multiple levels and link them, integrate flood disaster management and climate change adaptation into development planning, prioritize risk reduction for socially vulnerable groups and strengthen links between knowledge and practice. Responses like these could help reduce vulnerabilities under current climate and flood regimes, while also improving capacities to handle the future which every way that unfolds.",10.1007/s10113-010-0118-4,Regional Environmental Change,2019-06-05 12:17:51+00:00,
26,Contractual and Policy Challenges to Developing Ecocities,Gunawansa,2011-01-01,"Development of ecocities is one of the recent responses to climate change. What is envisaged in such developments is the creation of cities that are responsive to the surrounding environment in terms of pollution control, sustainable land use, mitigation of climate change and adaptation to changing climate conditions. Development of such cities from scratch or the conversion of existing cities into ecocities will be no easy task. The enormous financial and technological resources required for such developments may lead governments to rely on private sector participation in the development and management process of such cities. This paper argues that the concept of developing ecocities requires not only the successful completion of a project, but also the long-term maintenance of the sustainable features and their acceptance by the public. Thus, the paper points out that, in addition to the environmental sustainability concerns, the financial viability of the project, cultural considerations, community needs, capacity for future maintenance of the city and availability of a suitable regulatory and administrative framework for the administration of the city are important considerations. Further, the paper argues that the use of a traditional public-private-partnership (PPP) model of project development may not be a suitable vehicle for developing ecocities. Copyright (C) 2010 John Wiley & Sons, Ltd and ERP Environment.",10.1002/sd.445,Sustainable Development,2019-06-05 12:17:51+00:00,
